tconst	directors
tt0062336	nm0749914,nm0765384
tt0069049	nm0000080
tt0069204	nm0611531
tt0100275	nm0765384,nm0749914
tt0111414	nm0398271
tt0112502	nm6883878
tt0116991	nm0007037
tt0137204	nm0365480
tt0170651	nm0161615
tt0192528	nm0667001
tt0276132	nm0870719
tt0276568	nm0413912
tt0279481	nm0692785
tt0279722	nm0050048
tt0283440	nm1549344,nm0905839
tt0293429	nm2585406
tt0297400	\N
tt0305295	nm0275582
tt0315642	nm2349060
tt0326716	nm0425957
tt0328810	nm0784019
tt0331314	nm8625898
tt0337926	nm0285071
tt0339736	nm1274189
tt0346045	nm0021233
tt0347307	nm0652673
tt0348699	nm0001408
tt0360556	nm1023919
tt0364201	nm1768188
tt0365545	nm2223783
tt0368133	nm0698464
tt0369610	nm1119880
tt0374682	nm0944767
tt0376479	nm0000191
tt0383477	nm0644382
tt0385887	nm0001570
tt0420293	nm1547859
tt0427543	nm0853374
tt0432010	nm0723534
tt0437086	nm0001675
tt0439572	nm0615592
tt0441881	nm0826541
tt0443533	nm0586123
tt0446792	nm3584411
tt0448115	nm2497546
tt0451201	nm0853204
tt0451279	nm0420941
tt0460890	nm1989536
tt0462335	nm1296554
tt0470936	nm1596503
tt0473032	nm0776090
tt0475290	nm0001053,nm0001054
tt0478970	nm0715636
tt0490215	nm0000217
tt0491175	nm0000123
tt0491203	nm0149491
tt0493076	nm0607725
tt0493405	nm1009277
tt0498381	nm1279573
tt0499097	nm1356588
tt0765453	nm2111349
tt0775440	nm0931095
tt0783640	nm0733149
tt0787524	nm0114226
tt0790770	nm0000332
tt0800325	nm0871860
tt0803096	nm1512910
tt0805647	nm0000709
tt0810819	nm0393799
tt0810836	nm0429964
tt0821486	nm1079163
tt0825283	nm2371848
tt0825334	nm2340291
tt0835802	nm0000513
tt0837156	nm0497563
tt0837563	nm1556116,nm1552637
tt0838194	nm1407966
tt0844699	nm2355929
tt0846775	nm0410062
tt0848554	nm1973933,nm2202341
tt0849437	nm0248373
tt0850247	nm0383271
tt0850678	nm9493748
tt0858419	nm2383912
tt0859635	nm0151540
tt0862930	nm1012100
tt0870154	nm1429471
tt0874268	nm0178873
tt0877604	nm0538634
tt0884732	nm1275670
tt0891581	nm2542337
tt0906327	nm1871984
tt0918520	nm2289764,nm2292742
tt0918940	nm0946734
tt0926132	nm1937564
tt0932667	nm1065111
tt0937225	nm0512226
tt0972544	nm1641117
tt0974015	nm0811583
tt0977643	nm1194317
tt0983946	nm0905592
tt0995868	nm3104562,nm1905310
tt10001116	nm6769999
tt10001870	nm6330281
tt10001940	nm9793406
tt10002654	nm7509231
tt10003008	nm2002649
tt10003350	nm9099809
tt10003618	nm4234652
tt10003792	nm10539228
tt10003806	nm10539239
tt10003978	nm5802062
tt10003990	nm9033305
tt10004074	nm6745983,nm10539471
tt10004118	nm10539554
tt10004372	nm3316797
tt10004396	nm9757362
tt10004574	nm4204751
tt10004944	nm10047855
tt10005130	nm10540239
tt10005184	nm1490813
tt10005378	nm9232888
tt10005622	nm0448831
tt10005688	nm3284094
tt10005864	nm10540884
tt10006006	nm0776271
tt10006056	nm0493948
tt10006122	nm1972767
tt10006156	nm10180640
tt10006160	nm10709635
tt10006270	nm0363087
tt10006274	nm8100359
tt10006276	nm10541282
tt10006874	nm10211155
tt10007268	nm10541649
tt10007352	nm9041086
tt10007820	nm7379431
tt10007824	nm10541810
tt10007978	nm7379431
tt10008304	nm2080502,nm10556387
tt10008602	nm2080502,nm10556387
tt10008784	nm2502502
tt10008996	nm1188380
tt10009030	nm2616523,nm5074519
tt10009098	nm10542189
tt10009342	nm10542345
tt10009434	nm3659129
tt10009602	nm10542507
tt10009878	nm7242812
tt10009960	nm10542707,nm3461817
tt10009978	nm6103049
tt10010368	nm1326085
tt10010748	nm6286393
tt10010814	nm10953724
tt10010820	nm10543247
tt10010950	nm0052469
tt10011102	nm4853354
tt10011146	nm5013905
tt10011164	nm1506899
tt10011206	nm8613948
tt10011226	nm1736326
tt10011232	nm2693132,nm1857245
tt10011238	nm3138244
tt10011244	nm5975655
tt10011252	nm2026261
tt10011264	nm2116346
tt10011270	nm0387890
tt10011284	nm7888527
tt10011296	nm0001348
tt10011302	nm2029577,nm2782976
tt10011312	nm0166809,nm1975804,nm3730925,nm0393697
tt10011320	nm0055953
tt10011324	nm10543822
tt10011336	nm2118553
tt10011342	nm2675885
tt10011362	nm3093581,nm3983651
tt10011402	nm5817232
tt10011412	nm5036731
tt10011448	nm0258531,nm0295243
tt10011480	nm0181263,nm1065686
tt10011500	nm1823445,nm0329014
tt10011508	nm3059805
