Quartier;Libellé;Largeur;Longueur;Arrondissement;Début;Fin
Sainte-Marguerite.;rue Charrière;10.0;125.0;XIe;rue de Charonne, 86.;esplanade Renée Lebas et rue Chanzy.
Porte Dauphine.;rue Lalo;12.0;200.0;XVIe;rue Pergolèse, 62.;boulevard Marbeau, 32.
Bel Air.;rue Fernand Foureau;20.0;60.0;XIIe;boulevard Soult, 84.;avenue Lamoricière, 13, 30.
Quinze-Vingts.;rue Saint-Nicolas;12.0;172.0;XIIe;rue de Charenton, 67.;rue du Faubourg Saint-Antoine, 80.
Auteuil.;rue François Millet;12.0;96.0;XVIe;avenue Théophile Gautier, 22.;rue Jean de La Fontaine, 29.
Maison Blanche.;rue Gérard;4.0;160.0;XIIIe;rue du Moulin des Prés, 6.;rue Jonas, 11 et rue Samson, 1.
Madeleine.;cité Berryer;3.5;95.0;VIIIe;rue Royale, 25.;rue Boissy d'Anglas, 24.
Europe.;avenue César Caire;33.0;105.0;VIIIe;place Saint-Augustin, et rue de Laborde.;rue de la Bienfaisance, 11.
Madeleine.;rue Greffulhe;12.0;93.0;VIIIe;rue de Castellane, 8.;rue des Mathurins, 29.
Champs Elysées.;allée Marcel Proust;10.0;350.0;VIIIe;place de la Concorde.;avenue de Marigny.
Europe.;rue du Rocher;18.0;805.0;VIIIe;rue Pasquier, 43 et rue de Rome, 15.;place Prosper Goubaux, 1.
Saint-Thomas d'Aquin.;rue Gaston Gallimard;10.0;60.0;VIIe;rue de l'Université, 19;rue Sébastien Bottin, et rue Montalembert.
Saint-Germain des Prés.;impasse des Deux Anges;5.5;23.0;VIe;rue Saint-Benoît, 6.;
Arsenal.;rue de Birague;11.8;112.0;IVe;rue Saint-Antoine, 36.;place des Vosges, 1.
Halles.;rue du Roule;13.0;116.0;Ier;rue de Rivoli, 136.;rue Saint-Honoré, 77.
Place Vendôme.;cour Vendôme;13.5;52.0;Ier;rue Saint-Honoré, 362.;place Vendôme, 7.
Val de Grâce.;rue Pierre Brossolette;20.0;126.0;Ve;place Lucien Herr, 6.;rue Rataud.
Val de Grâce.;rue Royer-Collard;10.0;172.0;Ve;rue Saint-Jacques, 202.;boulevard Saint-Michel, 71.
Val de Grâce.;rue Lhomond;15.0;578.0;Ve;place de l'Estrapade, 1 et rue des Fossés Saint-Jacques, 26.;rue de l'Arbalète, 8.
Bercy.;voie CG/12;10.0;60.0;XIIe;quai de Bercy.;rue Robert Etlin.
Notre-Dame des Champs. Saint-Germain des Prés. Saint-Thomas d'Aquin. Ecole Militaire. Necker.;rue de Sèvres;24.0;1500.0;VIe,VIIe,XVe;place Michel Debré, 2.;boulevard Pasteur, 1, et avenue de Breteuil, 85.
Invalides.;avenue du Maréchal Gallieni;20.0;450.0;VIIe;quai d'Orsay.;place des Invalides.
Ecole Militaire. Gros Caillou.;place Joffre;70.0;450.0;VIIe;avenue Duquesne, et avenue de La Bourdonnais.;avenue de Suffren, et carrefour du Général Jacques Pâris de Bollardière.
Gros Caillou.;rue de Monttessuy;12.0;210.0;VIIe;avenue Rapp, 18.;avenue de La Bourdonnais, 21.
Parc de Montsouris. Petit Montrouge. Plaisance.;rue d'Alésia;20.0;2400.0;XIVe;place Coluche.;rue de Vouillé, à la limite du XVe arrondissement.
Vivienne.;passage des Princes;3.0;80.0;IIe;boulevard des Italiens, 5 bis.;rue de Richelieu, 97.
Enfants Rouges.;rue de Picardie;10.0;185.0;IIIe;rue de Bretagne, 40.;rue de Franche Comté, 2.
Enfants Rouges.;rue Eugène Spuller;15.0;160.0;IIIe;rue de Bretagne.;rue Dupetit-Thouars.
Chaussée d'Antin.;passage du Havre;3.65;115.0;IXe;rue de Caumartin, 69.;rue Saint-Lazare, 109.
Saint-Merri.;rue Saint-Merri;12.0;225.0;IVe;rue du Temple, 23.;rue Saint-Martin, 100.
Chaussée d'Antin.;avenue du Coq;12.0;72.0;IXe;rue Saint-Lazare, 87.;en impasse
Rochechouart.;rue Manuel;11.0;91.0;IXe;rue Milton, 13.;rue des Martyrs, 26.
Chapelle.;rue de la Madone;40.0;113.0;XVIIIe;rue Marc Séguin, 32 et rue de l'Évangile, 11.;rue des Roses, 13-19.
Charonne.;voie EW/20;10.0;250.0;XXe;avenue Cartellier.;boulevard Périphérique intérieur est.
Grandes Carrières.;rue Félix Ziem;12.0;90.0;XVIIIe;rue Damrémont, 33.;rue Eugène Carrière, 22 et place Nattier, 2.
Charonne.;rue Saint-Blaise;15.0;600.0;XXe;place Saint-Blaise.;boulevard Davout, 109-113.
Saint-Fargeau.;rue Devéria;12.0;100.0;XXe;rue Pelleport, 146.;rue du Borrégo, 12, et rue du Télégraphe.
Père Lachaise.;place Gambetta;0.0;0.0;XXe;à la rencontre des avenues Gambetta et du Père Lachaise, et des rues des Pyrénées et Belgrand.;
Belleville.;impasse Pixérécourt;1.7000000000000002;130.0;XXe;rue Charles Friedel, 11.;
Charonne.;impasse Philidor;1.2;17.0;XXe;rue Philidor, 16.;
Belleville. Père Lachaise. Charonne.;rue des Pyrénées;48.0;3515.0;XXe;cours de Vincennes, 67.;rue de Belleville, 92.
Lambert.;allée Eugénie;9.0;85.0;XVe;avenue Sainte-Eugénie, 7.;en impasse.
Pont de Flandre.;rue du Chemin de Fer;12.0;405.0;XIXe;place Auguste Baron.;rue du Chemin de fer, à la limite du territoire de Pantin.
Combat.;rue Henri Murger;12.0;155.0;XIXe;avenue Mathurin Moreau, 37.;rue Édouard Pailleron, 12, et avenue Secrétan, 66.
Amérique.;rue Jean Quarré;6.0;160.0;XIXe;rue Henri Ribière, 12.;rue du Docteur Potain, 21.
Combat.;rue Rampal;10.5;200.0;XIXe;rue de Belleville, 35.;rue Rébeval, 48.
Combat.;place Jean Rostand;0.0;0.0;XIXe;boulevard de la Villette, 10 et rue Hector Guimard.;
Javel.;rue des Bergers;9.0;450.0;XVe;rue de Javel, 60.;rue Cauchy, 33.
Porte Dauphine.;rue Charles Lamoureux;12.0;70.0;XVIe;rue Émile Ménier, 23.;rue Spontini, 25 et rue de Noisiel, 3.
Muette.;passage Singer;6.8;80.0;XVIe;rue Singer, 29.;rue des Vignes, 36.
Batignolles.;square Claude Debussy;8.0;90.0;XVIIe;rue Legendre, 23 bis.;square Fernand de la Tombelle, 4.
Epinettes.;villa Jacquemont;5.0;68.0;XVIIe;rue Jacquemont, 12.;en impasse
Epinettes.;rue Louis Loucheur;15.0;135.0;XVIIe;boulevard Bessières, 24 et rue Francis Garnier, 3.;rue Fernand Pelloutier, 8 et rue André Bréchet.
Ternes.;rue Catulle Mendès;20.0;110.0;XVIIe;avenue Stéphane Mallarmé, 10.;boulevard de la Somme, 21.
Auteuil.;square des Aliscamps;17.0;68.0;XVIe;boulevard Suchet, 100.;avenue du Maréchal Lyautey, 9.
Muette.;rue des Bauches;12.0;141.0;XVIe;rue de Boulainvilliers, 45.;rue Gustave Zédé, 3, et rue Marietta Martin, 5.
Auteuil.;voie BQ/16;10.0;200.0;XVIe;boulevard Périphérique extérieur ouest.;autoroute A13.
Maison Blanche.;rue de l'Espérance;12.0;280.0;XIIIe;rue de la Butte aux Cailles, 27.;rue Barrault, 61.
Gare.;rue Jean Antoine de Baïf;15.0;215.0;XIIIe;quai Panhard et Levassor, 13.;rue de la Croix Jarry, 41.
Madeleine.;rue Royale;22.0;282.0;VIIIe;place de la Concorde, 2.;place de la Madeleine, 2.
Porte Saint-Martin. Porte Saint-Denis.;rue Saint-Laurent;12.0;150.0;Xe;rue du Faubourg Saint-Martin, 127.;boulevard de Magenta, 72.
Porte Saint-Martin.;rue Sibour;15.0;70.0;Xe;rue du Faubourg Saint-Martin, 121.;boulevard de Strasbourg, 70.
Gros Caillou.;rue Savorgnan de Brazza;12.0;95.0;VIIe;avenue de La Bourdonnais, 68.;allée Adrienne Lecouvreur, et place Joffre.
Ecole Militaire.;rue d'Estrées;10.0;495.0;VIIe;boulevard des Invalides, 34, et avenue de Villars, 16.;place de Fontenoy, 1.
Charonne.;square du Var;15.0;92.0;XXe;rue Noël Ballay, 3.;rue Lippmann, 4.
Necker.;voie CR/15;;;XVe;voie CQ/15.;rue André Gide, 21.
Saint-Georges. Grandes Carrières.;promenade Georges Ulmer;18.0;160.0;IXe, XVIIIe;terre-plein central du boulevard de Clichy, commençant au droit du n° 17, et finissant au droit du n° 39.;
Maison Blanche.;voie GJ/13;8.0;55.0;XIIIe;boulevard Auguste Blanqui, 139.;voie GH/13.
Porte Dauphine.;route Sablonneuse;0.0;1280.0;XVIe;route de la Muette à Neuilly.;avenue du Mahatma Gandhi.
Charonne.;rue Charles Et Robert;15.0;112.0;XXe;boulevard Davout, 66.;place de la Porte de Montreuil, rue Maryse Hilsz.
Petit Montrouge.;voie F/14;3.3;85.0;XIVe;rue Friant, 26.;square de Châtillon, 17.
Montparnasse.;passage Fermat;1.4;105.0;XIVe;rue Fermat, 2.;rue Froidevaux, 69.
Combat. Villette.;avenue de Laumière;26.0;310.0;XIXe;rue Armand Carrel, 2 et place Armand Carrel.;avenue Jean Jaurès, 94.
Maison Blanche.;rue Caillaux;20.0;250.0;XIIIe;avenue de Choisy, 59.;avenue d'Italie, 111.
Charonne.;impasse Saint-Paul;3.0;30.0;XXe;passage Dieu, 5.;
Charonne.;rue Joseph Python;12.0;335.0;XXe;rue Louis Lumière, 90 et avenue de la Porte de Bagnolet.;en impasse
Saint-Victor;place Maurice Audin;5.0;38.0;Ve;intersection de la rue des Écoles, rue Saint-Victor, et rue de Poissy.;
Gare.;rue Marie-Louise Dubreil-Jacotin;7.0;35.0;XIIIe;rue Hélène Brion, 20.;rue Françoise Dolto, 17.
Ternes.;esplanade du Général Casso;19.0;41.0;XVIIe;intersection du boulevard Gouvion-Saint-Cyr, rue Alexandre Charpentier, rue Jules Renard, et rue Claude Debussy.;
Maison Blanche.;rue Madeleine Brès;16.0;200.0;XIIIe;rue Brillat-Savarin, 11.;rue Annie Girardot.
Gare.;rue Louise Bourgeois;14.0;150.0;XIIIe;place Farhat Hached.;rue Julie Daubié, place Paul et Augustine Fiket et rue Léo Fränkel.
Epinettes.;rue Fourneyron;12.0;55.0;XVIIe;rue des Moines, 43.;rue Brochant, 28.
Grandes Carrières. Clignancourt.;rue Duhesme;12.0;987.0;XVIIIe;rue Lamarck, 92.;passage Duhesme, 8.
Maison Blanche.;rue du Tibre;4.4;76.0;XIIIe;rue du Moulin de la Pointe, 58.;rue Damesme, 71.
Charonne.;place de la Réunion;0.0;0.0;XXe;à la rencontre des rues Alexandre Dumas, de Terre Neuve, de la Réunion et Vitruve et du sentier de la Pointe.;
Belleville.;rue Jouye-Rouve;12.0;183.0;XXe;rue de Belleville, 60.;rue Julien Lacroix, 68.
Clignancourt.;rue Gaston Auguet;5.5;85.0;XVIIIe;rue des Poissonniers, 111.;rue Boinod, 38.
